county_desc,race_ethnicity,age_bin,gender_code,Likely,unlikely,total
ALAMANCE,Hispanic Any Race,18-29,F,630,0,630
ALAMANCE,Hispanic Any Race,18-29,M,381,0,381
ALAMANCE,Hispanic Any Race,18-29,U,18,0,18
ALAMANCE,Hispanic Any Race,30-39,F,379,0,379
ALAMANCE,Hispanic Any Race,30-39,M,230,0,230
ALAMANCE,Hispanic Any Race,30-39,U,4,0,4
ALAMANCE,Hispanic Any Race,40-49,F,314,0,314
ALAMANCE,Hispanic Any Race,40-49,M,233,0,233
ALAMANCE,Hispanic Any Race,40-49,U,6,0,6
ALAMANCE,Hispanic Any Race,50-64,F,375,0,375
ALAMANCE,Hispanic Any Race,50-64,M,368,0,368
ALAMANCE,Hispanic Any Race,50-64,U,11,0,11
ALAMANCE,Hispanic Any Race,65+,F,136,0,136
ALAMANCE,Hispanic Any Race,65+,M,134,0,134
ALAMANCE,Hispanic Any Race,65+,U,6,0,6
ALAMANCE,Non-Hispanic American Indian,18-29,F,10,0,10
ALAMANCE,Non-Hispanic American Indian,18-29,M,3,0,3
ALAMANCE,Non-Hispanic American Indian,30-39,F,17,0,17
ALAMANCE,Non-Hispanic American Indian,30-39,M,7,0,7
ALAMANCE,Non-Hispanic American Indian,40-49,F,14,0,14
ALAMANCE,Non-Hispanic American Indian,40-49,M,13,0,13
ALAMANCE,Non-Hispanic American Indian,50-64,F,49,0,49
ALAMANCE,Non-Hispanic American Indian,50-64,M,30,0,30
ALAMANCE,Non-Hispanic American Indian,50-64,U,2,0,2
ALAMANCE,Non-Hispanic American Indian,65+,F,23,0,23
ALAMANCE,Non-Hispanic American Indian,65+,M,10,0,10
ALAMANCE,Non-Hispanic Asian,18-29,F,45,0,45
ALAMANCE,Non-Hispanic Asian,18-29,M,31,0,31
ALAMANCE,Non-Hispanic Asian,30-39,F,50,0,50
ALAMANCE,Non-Hispanic Asian,30-39,M,33,0,33
ALAMANCE,Non-Hispanic Asian,30-39,U,1,0,1
ALAMANCE,Non-Hispanic Asian,40-49,F,59,0,59
ALAMANCE,Non-Hispanic Asian,40-49,M,42,0,42
ALAMANCE,Non-Hispanic Asian,50-64,F,57,0,57
ALAMANCE,Non-Hispanic Asian,50-64,M,56,0,56
ALAMANCE,Non-Hispanic Asian,50-64,U,1,0,1
ALAMANCE,Non-Hispanic Asian,65+,F,25,0,25
ALAMANCE,Non-Hispanic Asian,65+,M,17,0,17
ALAMANCE,Non-Hispanic Black,18-29,F,1005,0,1005
ALAMANCE,Non-Hispanic Black,18-29,M,543,0,543
ALAMANCE,Non-Hispanic Black,18-29,U,10,0,10
ALAMANCE,Non-Hispanic Black,30-39,F,1703,0,1703
ALAMANCE,Non-Hispanic Black,30-39,M,789,0,789
ALAMANCE,Non-Hispanic Black,30-39,U,6,0,6
ALAMANCE,Non-Hispanic Black,40-49,F,1946,0,1946
ALAMANCE,Non-Hispanic Black,40-49,M,1008,0,1008
ALAMANCE,Non-Hispanic Black,40-49,U,2,0,2
ALAMANCE,Non-Hispanic Black,50-64,F,3530,0,3530
ALAMANCE,Non-Hispanic Black,50-64,M,2169,0,2169
ALAMANCE,Non-Hispanic Black,50-64,U,6,0,6
ALAMANCE,Non-Hispanic Black,65+,F,3356,0,3356
ALAMANCE,Non-Hispanic Black,65+,M,2044,0,2044
ALAMANCE,Non-Hispanic Black,65+,U,2,0,2
ALAMANCE,Non-Hispanic Mixed,18-29,F,59,0,59
ALAMANCE,Non-Hispanic Mixed,18-29,M,43,0,43
ALAMANCE,Non-Hispanic Mixed,30-39,F,37,0,37
ALAMANCE,Non-Hispanic Mixed,30-39,M,15,0,15
ALAMANCE,Non-Hispanic Mixed,30-39,U,1,0,1
ALAMANCE,Non-Hispanic Mixed,40-49,F,30,0,30
ALAMANCE,Non-Hispanic Mixed,40-49,M,22,0,22
ALAMANCE,Non-Hispanic Mixed,50-64,F,26,0,26
